Date,Deaths
2019-01-01,1541
2019-01-02,1546
2019-01-03,1558
2019-01-04,1693
2019-01-05,1646
2019-01-06,1695
2019-01-07,1701
2019-01-08,1629
2019-01-09,1571
2019-01-10,1596
2019-01-11,1737
2019-01-12,1623
2019-01-13,1615
2019-01-14,1629
2019-01-15,1669
2019-01-16,1615
2019-01-17,1554
2019-01-18,1697
2019-01-19,1670
2019-01-20,1564
2019-01-21,1611
2019-01-22,1627
2019-01-23,1670
2019-01-24,1608
2019-01-25,1680
2019-01-26,1677
2019-01-27,1619
2019-01-28,1649
2019-01-29,1671
2019-01-30,1602
2019-01-31,1687
2019-02-01,1747
2019-02-02,1670
2019-02-03,1577
2019-02-04,1650
2019-02-05,1668
2019-02-06,1662
2019-02-07,1716
2019-02-08,1727
2019-02-09,1697
2019-02-10,1697
2019-02-11,1576
2019-02-12,1530
2019-02-13,1707
2019-02-14,1609
2019-02-15,1650
2019-02-16,1678
2019-02-17,1588
2019-02-18,1622
2019-02-19,1575
2019-02-20,1490
2019-02-21,1586
2019-02-22,1582
2019-02-23,1493
2019-02-24,1487
2019-02-25,1527
2019-02-26,1524
2019-02-27,1554
2019-02-28,1559
2019-03-01,1599
2019-03-02,1558
2019-03-03,1467
2019-03-04,1516
2019-03-05,1457
2019-03-06,1558
2019-03-07,1491
2019-03-08,1443
2019-03-09,1496
2019-03-10,1510
2019-03-11,1420
2019-03-12,1576
2019-03-13,1501
2019-03-14,1456
2019-03-15,1507
2019-03-16,1423
2019-03-17,1461
2019-03-18,1431
2019-03-19,1509
2019-03-20,1477
2019-03-21,1434
2019-03-22,1342
2019-03-23,1380
2019-03-24,1373
2019-03-25,1417
2019-03-26,1379
2019-03-27,1406
2019-03-28,1391
2019-03-29,1394
2019-03-30,1353
2019-03-31,1299
2019-04-01,1453
2019-04-02,1513
2019-04-03,1498
2019-04-04,1438
2019-04-05,1528
2019-04-06,1396
2019-04-07,1453
2019-04-08,1512
2019-04-09,1489
2019-04-10,1437
2019-04-11,1447
2019-04-12,1479
2019-04-13,1473
2019-04-14,1476
2019-04-15,1523
2019-04-16,1564
2019-04-17,1516
2019-04-18,1568
2019-04-19,1463
2019-04-20,1398
2019-04-21,1421
2019-04-22,1369
2019-04-23,1463
2019-04-24,1482
2019-04-25,1434
2019-04-26,1414
2019-04-27,1435
2019-04-28,1363
2019-04-29,1421
2019-04-30,1344
2019-05-01,1475
2019-05-02,1361
